ID;dispatchDate;country_code;letterType_ID;amountNational;amountInternational
35a8e296-0a20-45ed-8313-1fa00bdb8d78;01022022;Charlie;f867c5da-257c-4219-b8e9-a4e83b155eb1;821;279
0fa7c9a6-3b99-494b-a5dd-7342e9d92d6e;01022022;X-ray Charlie;47cd47c4-eeb7-468f-8338-d0219923261a;134;939
a9be9e9f-9c20-4f09-8ef7-3081eb710061;01022022;Romeo Charlie;a1f99862-d872-498e-be63-04ca3269579d;481;363
0e646e7b-f6c7-4040-8509-abce9ea7e59c;01022022;Hotel Charlie Zulu;cdd1839e-b4cb-40d5-b3af-f6b411072f9a;536;579
abea3f47-2282-4aeb-80b5-d995509ebc4e;01022022;Hotel Juliett;af7c880b-78b5-41ce-ab7e-818a51621755;185;428
7449d14c-0dc0-4ff6-8f92-ff37e4d34b14;01022022;Zulu Lima;421b6a2e-6616-4954-a60a-cd931918f97b;662;746
162ae21d-fef6-4e52-9d7f-14ab4fa2a148;01022022;Uniform;2c0e418b-e4c3-4744-aeb4-8aa414dfa3b3;855;763
246ccf77-949b-4da3-aa11-e40f325d8f06;01022022;Echo;d92105a8-32fd-4f00-abad-9891d7025e53;543;854
360e6a93-5884-4992-aba2-d5873ef1c397;01022022;Hotel Charlie November;63c63ee3-4162-439f-9327-881f9176ab30;544;996
798db622-cb77-49ef-9699-0cc1ff2a47e9;01022022;Whiskey;4840d8b8-74f2-46c3-ae08-3099527dfe81;691;580
